company_name,company_legal_names,company_commercial_names,main_country_code,main_region,main_city_district,main_city,main_postcode,main_street,main_street_number,main_latitude,main_longitude,main_address_raw_text,locations,short_description,long_description,business_tags,product_type,main_industry,main_sector,primary_phone,phone_numbers,primary_email,emails,other_emails,website_url,website_domain,website_language_code,facebook_url,twitter_url,instagram_url,linkedin_url,ios_app_url,android_app_url,youtube_url,generated_description,generated_business_tags,domains,id
glen rose medical center,,glen rose medical center,us,texas,,glen rose,76043,glenwood street,408,32.24264144897461,-97.74504852294922,"408 glenwood st, 76043, glen rose, tx, texas","us, united states, texas, glen rose, 76043, glenwood street, 408, 32.24264144897461, -97.74504852294922","glen rose medical center is a surgeons & physicians clinic based in glen rose, texas, united states.",,,consumer services,hospitals & clinics,health care & social assistance,+12548972215,+12548972215,jclem@grmf.org,,,,glenrosemedicalcenter.com,,pages/category/Hospital/Glen-Rose-Medical-Center-702148033172412/,,,,,,,,,,8196
glen rose medical center-hospital emergency room,,glen rose medical center-hospital emergency room,us,texas,,glen rose,76043,holden street,1021,32.242288699999996,-97.74573199999999,"1021 holden st, glen rose, tx 76043, united states","us, united states, texas, glen rose, 76043, holden street, 1021, 32.242288699999996, -97.74573199999999","glen rose medical center-hospital emergency room is a surgeons & physicians clinic based in glen rose, texas, united states.",,,consumer services,hospitals & clinics,health care & social assistance,+12548972215,+12548972215,,,,,glenrosemedicalcenter.com,,,,,,,,,"glen rose medical center-hospital: emergency room is a healthcare facility categorized under emergency rooms and hospital departments. it is located in glen rose, texas, united states.",wheelchair accessible rooms | medical department | emergency services | surgical hospitals,,8629
glen rose medical center,,glen rose medical center,us,texas,,glen rose,76043,glenwood street,409,32.2426767,-97.7459665,"409 glenwood st, glen rose, tx 76043, united states","us, united states, texas, glen rose, 76043, glenwood street, 409, 32.2426767, -97.7459665","glen rose medical center is a surgeons & physicians clinic based in glen rose, texas, united states.",,,consumer services,hospitals & clinics,health care & social assistance,,,,,,,glenrosemedicalcenter.com,,,,,,,,,"glen rose medical center is a medical facility located in glen rose, texas, united states. it operates as a medical center, providing various healthcare services.",medical centers | bathroom facilities | healthcare institution | wheelchair accessible entrance,,10712
"hutchinson, julia m.d.",,"hutchinson, julia m.d.",us,texas,,glen rose,76043,glenwood street,,32.24290466308594,-97.74534606933594,,"us, united states, texas, glen rose, 76043, glenwood street, , 32.24290466308594, -97.74534606933594","hutchinson, julia m.d. is a surgeons & physicians clinic based in glen rose, texas, united states.",,,consumer services,hospitals & clinics,health care & social assistance,+12548972202,+12548972202,,,,,glenrosemedicalcenter.com,,,,,,,,,,,,11436
glen rose medical center patino hernan md,,glen rose medical center patino hernan md,us,texas,,glen rose,76043,holden street,1021,32.2419337,-97.7468801,"1021 holden st, glen rose, tx 76043","us, united states, texas, glen rose, 76043, holden street, 1021, 32.2419337, -97.7468801","glen rose medical center patino hernan md is a surgeons & physicians clinic based in glen rose, texas, united states.",,,consumer services,hospitals & clinics,health care & social assistance,+12548972202,+12548972202,,,,,glenrosemedicalcenter.com,,,,,,,,,,,,14120
,,,us,texas,,glen rose,76043,northeast big bend trail,1005,32.2438608,-97.74646589999999,"1005 ne big bend trail suite 6, glen rose, tx 76043","us, united states, texas, glen rose, 76043, northeast big bend trail, 1005, 32.2438608, -97.74646589999999",,,,consumer services,therapy & alternative medicine,health care & social assistance,+12548973176,+12548973176,,,,therapy-services/&opi=79508299&sa=U&ved=0ahUKEwjZk4qfzK6GAxXc2AIHHQ7uAJYQ61gIEigO&usg=AOvVaw3WdEpcNc6MmSe0Wa9bVJ2c,glenrosemedicalcenter.com,,,,,,,,,,,,16003
glen rose medical center,,glen rose medical center,us,texas,,glen rose,76043,holden street,1021,32.242217749999995,-97.74626085682605,"1021 holden st, glen rose, texas, 76043, united states","us, united states, texas, glen rose, 76043, holden street, 1021, 32.242217749999995, -97.74626085682605",,,,,,,+12548972215,+12548972215,,,,,glenrosemedicalcenter.com,,,,,company/glen-rose-medical-center,,,,,,,18110
glen rose medical center-hospital,,glen rose medical center-hospital,us,texas,,glen rose,76043,holden street,1021,32.2418713,-97.746805,"1021 holden st, glen rose, tx 76043","us, united states, texas, glen rose, 76043, holden street, 1021, 32.2418713, -97.746805","glen rose medical center-hospital is a surgeons & physicians clinic based in glen rose, texas, united states.",,,consumer services,hospitals & clinics,health care & social assistance,+12548972215,+12548972215,,,,,glenrosemedicalcenter.com,,,,,company/glen-rose-medical-center,,,,"glen rose medical center-hospital is a healthcare facility located in glen rose, texas, united states. it operates as a general hospital and nursing home, providing medical care and treatment services.",vehicle access/wheelchair entrances | medical facility | nursing home | medical treatment care services,,20648
glen rose medical center,,glen rose medical center,us,texas,,glen rose,76043,holden street,1021,32.24236525,-97.74613168470358,"1021 holden st, 76043, glen rose, tx, us, texas","us, united states, texas, glen rose, 76043, holden street, 1021, 32.24236525, -97.74613168470358","glen rose medical center is a surgeons & physicians clinic based in glen rose, texas, united states.",,,consumer services,hospitals & clinics,health care & social assistance,+12548972215,+12548972215,jclem@grmf.org,,,,glenrosemedicalcenter.com,,glen-rose-medical-center-702148033172412/,,,,,,,,,,23416
glen rose medical center,,glen rose medical center,us,texas,,glen rose,76043,glenwood street,408,32.24181687755102,-97.74452212244898,"408 glenwood st, glen rose, tx 76043","us, united states, texas, glen rose, 76043, glenwood street, 408, 32.24181687755102, -97.74452212244898","glen rose medical center is a surgeons & physicians clinic based in glen rose, texas, united states.",,,consumer services,hospitals & clinics,health care & social assistance,+12548972215,+12548972215,jclem@grmf.org,,,,glenrosemedicalcenter.com,,702148033172412/,,,,,,,,,,24500
