company_name,company_legal_names,company_commercial_names,main_country_code,main_region,main_city_district,main_city,main_postcode,main_street,main_street_number,main_latitude,main_longitude,main_address_raw_text,locations,short_description,long_description,business_tags,product_type,main_industry,main_sector,primary_phone,phone_numbers,primary_email,emails,other_emails,website_url,website_domain,website_language_code,facebook_url,twitter_url,instagram_url,linkedin_url,ios_app_url,android_app_url,youtube_url,generated_description,generated_business_tags,domains,id
vaporasia,,vaporasia,my,malacca,,ayer keroh,75450,jalan sj 1,45,2.2312439,102.299431,"45 jalan mh 1, ayer keroh, melaka, 75450, malaysia","my, malaysia, malacca, ayer keroh, 75450, jalan sj 1, 45, 2.2312439, 102.299431","vaporasia is a vaporizer store based in ayer keroh, malaysia.","vaporasia is a dynamic and innovative company that specializes in providing high-quality e-cigarettes and e-liquids to customers in malaysia. with a focus on offering a diverse range of products and exceptional customer service, vaporasia has established itself as a leading brand in the vaping industry. the company's commitment to sell only the finest vape products and the latest technology ensures that its products are safe, reliable, and satisfying. whether you are a seasoned vaper or new to the world of e-cigarettes, vaporasia has everything you need to enjoy a smooth and enjoyable vaping experience. so, if you are looking for premium quality vaping products, vaporasia is definitely worth checking out.",e cigarettes and e liquids | vape products | retail,nondurable products,tobacco,other nondurable products,,,,,,,vaporasia.com,,,,,company/vaporasia,,,,"vaporasia is a malaysian company that specializes in providing high-quality e-cigarettes and e-liquids to customers. they are known for their diverse range of products and exceptional customer service, making them a leading brand in the vaping industry. with a commitment to selling only the finest vape products and the latest technology, vaporasia ensures that their products are safe, reliable, and satisfying. whether you are a seasoned vaper or new to the world of e-cigs, vaporia offers everything you need to enjoy a smooth and enjoyable vaping experience. if you are looking for premium quality vaping products, vapororia is worth checking out.",e-commerce | vaping products retailer | e-liquids,vaporasia.com,691
vaporasia dataran cheras,,vaporasia dataran cheras,my,selangor,cheras,kajang municipal council,43200,jalan dataran cheras 1,43a,3.034847,101.763078,"43a, jalan dataran cheras 2, cheras trader square, 43200 cheras, selangor, malaysia","my, malaysia, selangor, kajang municipal council, 43200, jalan dataran cheras 1, 43a, 3.034847, 101.763078","vaporasia dataran cheras is a vaporizer store based in kajang municipal council, malaysia.",,,nondurable products,tobacco,other nondurable products,+60193193105,+60193193105,,,,?opi=79508299&sa=U&ved=0ahUKEwj_xqajv92GAxUd9wIHHYesJI8Q61gIFigS&usg=AOvVaw0FS1-5kasMec1j8cQLAHUF,vaporasia.com,,,,,,,,,"vaporasia dataran cheras is a vaporizer store located in kajang municipal council, selangor, malaysia.",tobacco products retailer | vaporizer store | electronic cigarettes retailer,,2105
vaporasia,,vaporasia,my,malacca,,ayer keroh,75450,jalan belia 14,45,2.2803202,102.2944737,"45 jalan mh 1, ayer keroh, melaka, 75450, malaysia","my, malaysia, malacca, ayer keroh, 75450, jalan belia 14, 45, 2.2803202, 102.2944737","vaporasia is a vaporizer store based in ayer keroh, malaysia.","vaporasia is a dynamic and innovative company that specializes in providing high-quality e-cigarettes and e-liquids to customers in malaysia. with a focus on offering a diverse range of products and exceptional customer service, vaporasia has established itself as a leading brand in the vaping industry. the company's commitment to sell only the finest vape products and the latest technology ensures that its products are safe, reliable, and satisfying. whether you are a seasoned vaper or new to the world of e-cigarettes, vaporasia has everything you need to enjoy a smooth and enjoyable vaping experience. so, if you are looking for premium quality vaping products, vaporasia is definitely worth checking out.",e cigarettes and e liquids | vape products | retail,nondurable products,tobacco,other nondurable products,+60193193105,+60193193105,,,,,vaporasia.com,,,,,company/vaporasia,,,,"vaporasia is a malaysian company that specializes in providing high-quality e-cigarettes and e-liquids to customers. they are known for their diverse range of products and exceptional customer service, making them a leading brand in the vaping industry. with a commitment to selling only the finest vape products and the latest technology, vaporasia ensures that their products are safe, reliable, and satisfying. whether you are a seasoned vaper or new to the world of e-cigs, vaporia offers everything you need to enjoy a smooth and enjoyable vaping experience. if you are looking for premium quality vaping products, vapororia is worth checking out.",e-liquids | vaping products retailer | e-commerce,,4242
vaporasia southville,,vaporasia southville,my,selangor,,dengkil,43800,,,2.9027203999999998,101.76278169999999,"a-g-51, savanna lifestyle retails, jalan bbls 2, bandar baru lembah selatan, 43800 dengkil, selangor, malaysia","my, malaysia, selangor, dengkil, 43800, , , 2.9027203999999998, 101.76278169999999","vaporasia southville is a vaporizer store based in dengkil, malaysia.",,,nondurable products,tobacco,other nondurable products,+60193193105,+60193193105,,,,,vaporasia.com,,,,,,,,,"vaporasia southville is a vaporizer store located in dengkil, selangor, malaysia.",vapor products retailer | in-store pickup | electronic cigarettes retailer,,6331
vaporasia tampin,,vaporasia tampin,my,negeri sembilan,,tampin,73000,jalan besar,3003,2.4647327000000003,102.2310302,"3003, jalan besar, 73000 tampin, negeri sembilan, malaysia","my, malaysia, negeri sembilan, tampin, 73000, jalan besar, 3003, 2.4647327000000003, 102.2310302","vaporasia tampin is a vaporizer store based in tampin, malaysia.",,,nondurable products,tobacco,other nondurable products,+60178898332,+60178898332,,,,,vaporasia.com,,,,,,,,,"vaporasia tampin is a vaporizer store located in tampin, negeri sembilan, malaysia.",tobacco products retailer | vapor products retailer,,8683
vaporasia ujong pasir,,vaporasia ujong pasir,my,malacca,central malacca,malacca city,75050,jalan ujong pasir,71-a 71,2.1872571,102.2693,"71-a, 71, jalan ujong pasir, taman sui mei, 75050 malacca, malaysia","my, malaysia, malacca, malacca city, 75050, jalan ujong pasir, 71-a 71, 2.1872571, 102.2693","vaporasia ujong pasir is a vaporizer store based in malacca city, malaysia.",,,nondurable products,tobacco,other nondurable products,+60178898332,+60178898332,,,,,vaporasia.com,,,,,,,,,"vaporasia ujong pasir is a vaporizer store located in malacca city, malaysia. the store specializes in the sale of vaporizers and offers various payment options including credit card, debit card, and mobile nfc payments. the store also provides in-store shopping and pickup services.",in-store shopping | electronic cigarettes retailer | vapor products retailer,,9463
vaporasia kepong,,vaporasia kepong,my,kuala lumpur,,kuala lumpur,,jalan 3/33a,,3.2125307000000003,101.6442987,"no.37 (ground floor jalan 3/33a,batu 7, off, jln kepong, pekan kepong, 52100 kuala lumpur, malaysia","my, malaysia, kuala lumpur, kuala lumpur, , jalan 3/33a, , 3.2125307000000003, 101.6442987","vaporasia kepong is a vaporizer store based in kuala lumpur, malaysia.",,,nondurable products,tobacco,other nondurable products,+60178898332,+60178898332,,,,,vaporasia.com,,,,,,,,,"vaporasia kepong is a vaporizer store located in kuala lumpur, malaysia.",vapor products retailer | electronic cigarettes retailer,,11370
vaporasia kuchai,,vaporasia kuchai,my,selangor,,petaling jaya,58200,,,3.0900942,101.6886973,"15g, jalan kuchai maju 11, kuchai entrepreneurs park, 58200 wilayah persekutuan, wilayah persekutuan kuala lumpur, malaysia","my, malaysia, selangor, petaling jaya, 58200, , , 3.0900942, 101.6886973","vaporasia kuchai is a vaporizer store based in petaling jaya, malaysia.",,,nondurable products,tobacco,other nondurable products,+60178898332,+60178898332,,,,,vaporasia.com,,,,,,,,,"vaporasia kuchai is a vaporizer store located in petaling jaya, selangor, malaysia. the store offers various services including curbside pickup, delivery, in-store pickup, and in-store shopping. it also accepts debit cards, mobile nfc payments, and credit card payments.",electronic cigarettes retailer | in-store shopping | smoking accessories retailer | curbside pickup | vaporizer products,,12385
vaporasia usj,,vaporasia usj,my,selangor,,subang jaya,47620,jalan usj 10/1b,12g,3.0488687999999997,101.5853982,"12g, jalan usj 10/1b, taipan business centre, 47620 subang jaya, selangor, malaysia","my, malaysia, selangor, subang jaya, 47620, jalan usj 10/1b, 12g, 3.0488687999999997, 101.5853982","vaporasia usj is a vaporizer store based in subang jaya, malaysia.",,,nondurable products,tobacco,other nondurable products,+60178898332,+60178898332,,,,,vaporasia.com,,,,,,,,,"vaporasia usj is a vaporizer store located in subang jaya, selangor, malaysia.",tobacco products retailer | vapor products retailer,,13626
vaporasia bahau,,vaporasia bahau,my,negeri sembilan,jempol,bahau,72100,11,111,2.8109887000000002,102.40123679999999,"111, g-floor, wisma pahlawan, jalan mewah, 72100 bahau, negeri sembilan, malaysia","my, malaysia, negeri sembilan, bahau, 72100, 11, 111, 2.8109887000000002, 102.40123679999999","vaporasia bahau is a vaporizer store based in bahau, malaysia.",,,nondurable products,tobacco,other nondurable products,+60178898332,+60178898332,,,,,vaporasia.com,,,,,,,,,"vaporasia bahau is a vaporizer store located in bahau, negeri sembilan, malaysia.",vapor products retailer | tobacco products retailer,,13794
