company_name,company_legal_names,company_commercial_names,main_country_code,main_region,main_city_district,main_city,main_postcode,main_street,main_street_number,main_latitude,main_longitude,main_address_raw_text,locations,short_description,long_description,business_tags,product_type,main_industry,main_sector,primary_phone,phone_numbers,primary_email,emails,other_emails,website_url,website_domain,website_language_code,facebook_url,twitter_url,instagram_url,linkedin_url,ios_app_url,android_app_url,youtube_url,generated_description,generated_business_tags,domains,id
inter cars,,inter cars,cz,south moravia,znojmo-město,znojmo,669 02,družstevní,3970/30,48.85136469999999,16.06802,"družstevní 3970/30, 669 02 znojmo 2, czechia","cz, czechia, south moravia, znojmo, 669 02, družstevní, 3970/30, 48.85136469999999, 16.06802","inter cars is an auto parts store based in znojmo, czechia.",,,durable products,auto parts,automotive,+420727870882,+420727870882,,,,,intercars.cz,,,,,,,,,"inter cars is an auto body parts supplier based in znojmo, czechia. the company specializes in providing various auto body parts.",wheelchair accessible entrance | in-store pickup | auto body parts supplier | payment methods | retail,,1797
inter cars,,inter cars,cz,south bohemia,,,370 10,okružní,2615,48.9987947,14.490193099999999,"okružní 2615, 370 04 české budějovice 4, czechia","cz, czechia, south bohemia, , 370 10, okružní, 2615, 48.9987947, 14.490193099999999",inter cars is an auto parts store based in czechia.,,,durable products,auto parts,automotive,+420388320450,+420388320450,,,,,intercars.cz,,,,,,,,,inter cars is an auto body parts supplier.,auto body parts supplier | in-store pickup | credit card payment | wheelchair accessible parking lot,,7635
inter cars,,inter cars,cz,ústí nad labem,,ústí nad labem,400 11,hoření,2472/14,50.67191169999999,14.040408499999998,"14 2472, hoření, 400 11 ústí nad labem-město, czechia","cz, czechia, ústí nad labem, ústí nad labem, 400 11, hoření, 2472/14, 50.67191169999999, 14.040408499999998","inter cars is an auto parts store based in ústí nad labem, czechia.",,,durable products,auto parts,automotive,+420724586444,+420724586444,,,,,intercars.cz,,,,,,,,,"inter cars is an auto body parts supplier based in ústí nad labem, czechia. the company specializes in providing various auto body parts.",wheelchair accessible entrance | parking facilities | credit card payment | auto body parts supplier | in-store pickup,,8694
inter cars,,inter cars,cz,central bohemia,,,250 92,revoluční,1114,50.114730599999994,14.677230600000001,"revoluční 1114, 250 92 šestajovice, czechia","cz, czechia, central bohemia, , 250 92, revoluční, 1114, 50.114730599999994, 14.677230600000001",inter cars is an auto parts store based in czechia.,,,durable products,auto parts,automotive,+420605053172,+420605053172,,,,,intercars.cz,,,,,,,,,inter cars is an auto body parts supplier.,in-store pickup | wheelchair accessible parking lot | auto body parts supplier | credit and debit card acceptance,,9055
inter cars,,inter cars,cz,central bohemia,,,293 06,u masokombinátu,829,50.43033870000001,14.9346432,"průmyslová 829, 293 06 mladá boleslav-kosmonosy, czechia","cz, czechia, central bohemia, , 293 06, u masokombinátu, 829, 50.43033870000001, 14.9346432",inter cars is an auto parts store based in czechia.,,,durable products,auto parts,automotive,+420727971929,+420727971929,,,,,intercars.cz,,,,,,,,,inter cars is an auto body parts supplier.,auto body parts supplier | retail | wheelchair accessible entrance | credit card payment | in-store pickup,,13754
inter cars,,inter cars,cz,ústí nad labem,velebudice,most,,obchodní,36,50.48581529999999,13.648031099999997,"obchodní 36, 434 01 most 1-velebudice, czechia","cz, czechia, ústí nad labem, most, , obchodní, 36, 50.48581529999999, 13.648031099999997","inter cars is an auto parts store based in most, czechia.",,,durable products,auto parts,automotive,+420474470470,+420474470470,,,,,intercars.cz,,,,,,,,,"inter cars is an auto body parts supplier based in most, czechia. the company specializes in providing various auto body parts.",credit card payment | auto body parts supplier | in-store pickup | wheelchair accessible parking lot,,23042
inter cars,,inter cars,cz,south bohemia,,,386 01,písecká,1334,49.26900829999999,13.9189583,"písecká 1334, 386 01 strakonice, czechia","cz, czechia, south bohemia, , 386 01, písecká, 1334, 49.26900829999999, 13.9189583",inter cars is an auto parts store based in czechia.,,,durable products,auto parts,automotive,+420702089071,+420702089071,,,,,intercars.cz,,,,,,,,,inter cars is an auto body parts supplier.,auto body parts supplier | retail | credit card payment | in-store pickup | wheelchair accessible entrance,,24708
inter cars,,inter cars,cz,central bohemia,,,256 01,křižíkova,2205,49.7734489,14.681033000000001,"areál dek trade, křižíkova 1590, 256 01 benešov u prahy, czechia","cz, czechia, central bohemia, , 256 01, křižíkova, 2205, 49.7734489, 14.681033000000001",inter cars is an auto parts store based in czechia.,,,durable products,auto parts,automotive,+420321389910,+420321389910,,,,,intercars.cz,,,,,,,,,inter cars is an auto body parts supplier.,auto body parts supplier | in-store pickup | wheelchair accessible parking lot | credit card payment,,24870
inter cars,,inter cars,cz,central bohemia,,,280 02,havlíčkova,884,50.01532580000001,15.221656500000002,"havlíčkova 884, 280 02 kolín iv, czechia","cz, czechia, central bohemia, , 280 02, havlíčkova, 884, 50.01532580000001, 15.221656500000002",inter cars is an auto parts store based in czechia.,,,durable products,auto parts,automotive,+420735791670,+420735791670,,,,,intercars.cz,,,,,,,,,inter cars is an auto body parts supplier.,retail | wheelchair accessible entrance | in-store pickup | credit card payment | auto body parts supplier,,25212
inter cars,,inter cars,cz,vysočina,,humpolec,396 01,lnářská,1654,49.5359274,15.349137100000004,"lnářská 1654, 396 01 humpolec, czechia","cz, czechia, vysočina, humpolec, 396 01, lnářská, 1654, 49.5359274, 15.349137100000004","inter cars is an auto parts store based in humpolec, czechia.",,,durable products,auto parts,automotive,+420775408194,+420775408194,,,,,intercars.cz,,,,,,,,,"inter cars is an auto body parts supplier based in humpolec, czechia. the company specializes in providing various automotive parts and accessories.",in-store pickup | credit card payment | wheelchair accessible parking lot | auto body parts supplier,,25397
