company_name,company_legal_names,company_commercial_names,main_country_code,main_region,main_city_district,main_city,main_postcode,main_street,main_street_number,main_latitude,main_longitude,main_address_raw_text,locations,short_description,long_description,business_tags,product_type,main_industry,main_sector,primary_phone,phone_numbers,primary_email,emails,other_emails,website_url,website_domain,website_language_code,facebook_url,twitter_url,instagram_url,linkedin_url,ios_app_url,android_app_url,youtube_url,generated_description,generated_business_tags,domains,id
sharikava coffee shop,,sharikava coffee shop,ua,rivne oblast,,rivne,33028,myru avenue,9,50.6233173,26.251029499999994,"myru ave, 9, rivne, rivne oblast, ukraine, 33000","ua, ukraine, rivne oblast, rivne, 33028, myru avenue, 9, 50.6233173, 26.251029499999994",,,,,,,,,,,,?opi=79508299&sa=U&ved=0ahUKEwi3yLvL1b2HAxUAEVkFHUXaCn4Q61gIFCgP&usg=AOvVaw20Xx3z6pzCMqlQ5HGUfYMk,sharikava.com,,,,,,,,,"кав'ярня sharikava is a coffee shop located in rivne, ukraine. it offers a variety of services including serving coffee and desserts. the establishment is described as having a casual and cozy atmosphere and is suitable for groups. payment options available include credit card, debit card, and mobile nfc.",bars with alcohol and non-alcoholic options | dessert options | nfc mobile payments | snack options | group-friendly atmosphere | outdoor seating area | coffee shop services | credit card payment,,2049
sharikava coffee shop,,sharikava coffee shop,ua,zhytomyr oblast,,zhytomyr,10030,kyivska street,77,50.2664473,28.683643800000002,"kyivska st, 77, zhytomyr, zhytomyr oblast, ukraine, 10000","ua, ukraine, zhytomyr oblast, zhytomyr, 10030, kyivska street, 77, 50.2664473, 28.683643800000002","sharikava coffee shop is a coffee & tea shop based in zhytomyr, ukraine.",,,consumer services,pubs & bars,accommodation & food services,,,,,,,sharikava.com,,,,,,,,,"кав'ярня sharikava is a cafe located in zhytomyr, ukraine.",coffee beverages | takeout services | cozy group atmosphere | cafe services | warm and welcoming atmosphere | casual atmosphere,,7516
sharikava,,sharikava,ua,zhytomyr oblast,,zhytomyr,10030,staryi boulevard,6,50.2503676,28.668306899999997,"staryi blvd, 6, zhytomyr, zhytomyr oblast, ukraine, 10002","ua, ukraine, zhytomyr oblast, zhytomyr, 10030, staryi boulevard, 6, 50.2503676, 28.668306899999997",,"кав’ярня знаходиться на вулиці старий бульвар, 6, на території парка імені шодуара. це постійне місце для прогулянок. на цій локації можна попрацювати з ноутбуком, постійно працює wi-fi. ви можете випити улюблений напій (як холодний, так і гарячий), перекусити смачним сандвічем та скуштувати солодощі власного виробництва. є можливість замовити в керамічний/скляний посуд або ж взяти з собою. тут також знаходиться і наша школа бариста, де ми проводимо спеціалізоване навчання для майбутніх співробітників. є вбиральня. посадкових місць 26 в межах залу, а також є затишна літня тераса (22 посадкових місця).",,,,,,,,,,,sharikava.com,,,,,,,,,"sharikava is a coffee shop located in zhytomyr, ukraine. the establishment offers a variety of services including outdoor seating, delivery, takeout, dine-in, and serves breakfast, lunch, and dessert. it also provides catering services and has facilities for groups, wheelchair accessibility, and restrooms. the coffee shop is suitable for families with children and offers vegetarian options. payment can be made via credit card, debit card, and mobile nfc.",bathroom facilities | wheelchair accessibility services | food preparation | breakfast options | dessert options | vegetarian options | outdoor seating area | small plates | dine-in service | coffee shop services | catering services | takeout services,,8689
sharikava,,sharikava,ua,zhytomyr oblast,,zhytomyr,10030,kyivska street,17/1,50.2567282,28.6629374,"kyivska st, 17, zhytomyr, zhytomyr oblast, ukraine, 10000","ua, ukraine, zhytomyr oblast, zhytomyr, 10030, kyivska street, 17/1, 50.2567282, 28.6629374",,,,,,,,,,,,,sharikava.com,,,,,,,,,"sharikava is a coffee shop located in zhytomyr, ukraine. the establishment offers a variety of services including dine-in, takeout, and delivery. it serves coffee, breakfast, lunch, and dessert, and provides options for vegetarian and small plates. the coffee shop is equipped with wi-fi and has outdoor seating. it is accessible and suitable for groups, children, and has amenities such as restrooms and parking. payment can be made via credit card, debit card, and mobile nfc.",food preparation | breakfast options | coffee shop services | outdoor seating area | vegetarian options | dine-in service | small plates | wheelchair accessibility services | dessert options | parking facilities,,12029
sharikava,,sharikava,ua,,,,,,,49.48719787597656,31.271831512451172,",ukraine","ua, ukraine, , , , , , 49.48719787597656, 31.271831512451172",,,,,,,+380686373070,+380686373070,sharikavaukraine@gmail.com,,,,sharikava.com,,sharikavaa/,,,,,,,,,sharikava.com,12098
sharikava,,sharikava,ua,vinnytsia oblast,vinnytsia raion,vinnytsia,21000,mikoli ovodova street,18,49.2353391,28.469755100000004,"mykoly ovodova st, 18, vinnytsia, vinnytsia oblast, ukraine, 21000","ua, ukraine, vinnytsia oblast, vinnytsia, 21000, mikoli ovodova street, 18, 49.2353391, 28.469755100000004",,,,,,,,,,,,,sharikava.com,,,,,,,,,"sharikava is a coffee shop located in vinnytsia, ukraine. the establishment offers a variety of services including dine-in, takeout, and delivery. it serves breakfast, lunch, coffee, small plates, vegetarian options, and desserts. the coffee shop is equipped with wi-fi and has restrooms available. it is suitable for groups and welcomes children, with high chairs available. the establishment also provides a casual and cozy atmosphere and accepts various payment methods including credit and debit cards, as well as mobile nfc payments.",food preparation | bathroom facilities | wheelchair accessible entrance | small plates | parking facilities | takeout services | dessert options | breakfast options | coffee shop services | vegetarian options,,15655
sharikava,,sharikava,ua,vinnytsia oblast,vinnytsia raion,vinnytsia,21000,kosmonavtiv avenue,20,49.2301401,28.419820899999994,"kosmonavtiv ave, 20, vinnytsia, vinnytsia oblast, ukraine, 21000","ua, ukraine, vinnytsia oblast, vinnytsia, 21000, kosmonavtiv avenue, 20, 49.2301401, 28.419820899999994",,"кав’ярня знаходиться на проспекті космонатів, 20, неподалік зони для прогулянок. тут можна попрацювати з ноутбуком, постійно працює wi-fi. ви можете випити улюблений напій (як холодний, так і гарячий), перекусити смачним сандвічем та скуштувати солодощі власного виробництва. є вбиральня. посадкових місць у залі 22, є також невеличка літня тераса, де можна приємно провести час. усю продукцію можна взяти з собою.",,,,,,,,,,,sharikava.com,,,,,,,,,"sharikava is a coffee shop located in vinnytsia, ukraine. the establishment offers a variety of services including outdoor seating, dine-in options, and wheelchair accessibility. it serves breakfast, lunch, coffee, small plates, vegetarian options, and desserts. the coffee shop also provides wi-fi and is suitable for groups. payment methods accepted include credit card, debit card, and mobile nfc.",dine-in options | vegetarian options | outdoor seating area | food preparation | breakfast options | small plates | bathroom facilities | wheelchair accessible parking lot | dessert options,,17680
sharikava,,sharikava,ua,zhytomyr oblast,,zhytomyr,10030,ivana ohiienka street,2,50.2415082,28.701707499999998,"ivana ohijenka st, 2, zhytomyr, zhytomyr oblast, ukraine, 10000","ua, ukraine, zhytomyr oblast, zhytomyr, 10030, ivana ohiienka street, 2, 50.2415082, 28.701707499999998",,"кав’ярня знаходиться на вулиці огієнка, 2. тут постійно працює wi-fi. ви можете випити улюблений напій (як холодний, так і гарячий), перекусити смачним сандвічем та скуштувати солодощі власного виробництва. є вбиральня. посадкових місць у залі 18. усю продукцію можна взяти з собою",,,,,,,,,,,sharikava.com,,,,,,,,,"sharikava is a coffee shop located in zhytomyr, ukraine. the establishment offers a variety of services including outdoor seating, delivery, takeout, dine-in, and catering. it serves breakfast, lunch, dinner, small plates, vegetarian options, and desserts. the coffee shop is equipped with wi-fi and has restrooms available. it is suitable for groups and welcomes children. payment can be made using credit cards.","small plates | vegetarian options | dessert options | wheelchair accessible parking lot | food preparation | catering services | outdoor seating area | breakfast, lunch, and dinner",,18232
cafe sharikava,,cafe sharikava,ua,vinnytsia oblast,vinnytsia raion,vinnytsia,21000,keletska street,60,49.2253912,28.4246333,"келецька, 60 маф на тролейбусній зупинці по вул. 600-ліття, провулок малий, vinnytsia, vinnytsia oblast, ukraine, 21000","ua, ukraine, vinnytsia oblast, vinnytsia, 21000, keletska street, 60, 49.2253912, 28.4246333","cafe sharikava is a coffee & tea shop based in vinnytsia, ukraine.",,,consumer services,pubs & bars,accommodation & food services,+380686373070,+380686373070,,,,,sharikava.com,,,,,,,,,"sharikava is a cafe and coffee shop located in vinnytsia, ukraine. it offers a variety of coffee and other beverages.",food and beverage services | coffee shop services | alcoholic beverages | childrens menu,,22927
cafe sharikava,,cafe sharikava,ua,zhytomyr oblast,,zhytomyr,10030,mykhaila hrushevskoho street,5,50.258953899999995,28.657650999999998,"mykhaila hrushevskoho st, 5, zhytomyr, zhytomyr oblast, ukraine, 10000","ua, ukraine, zhytomyr oblast, zhytomyr, 10030, mykhaila hrushevskoho street, 5, 50.258953899999995, 28.657650999999998","cafe sharikava is a coffee & tea shop based in zhytomyr, ukraine.",,,consumer services,pubs & bars,accommodation & food services,,,,,,,sharikava.com,,,,,,,,,"кав'ярня sharikava is a cafe located in zhytomyr, ukraine.",cafe services | snack options | takeout services | wheelchair accessible parking lot | food and beverage services | non-alcoholic beverages,,23091
